confidence ,context,many,Answer.time_in_minutes,workerid
7,2,0,1.330116667,12
6,2,0,0.3080666667,15
6,2,0,0.26805,19
6,2,0,0.34675,22
7,2,0,0.3093833333,0
6,2,0,0.3412833333,1
6,2,0,0.5897,2
4,2,1,1.955566667,3
7,2,0,0.2566666667,4
5,2,0,0.5649333333,5
7,2,0,0.1194666667,6
7,2,0,0.1615833333,7
7,2,0,0.2984833333,0
4,2,1,1.801466667,3
6,2,0,0.5225833333,9
7,2,0,0.1654333333,6
7,2,0,0.30615,10
6,2,0,0.2547333333,11
7,2,0,0.16045,7
4,2,0,0.6094833333,14
5,2,0,1.121833333,88
4,2,1,0.2327,93
6,2,0,0.7553166667,113
7,2,0,0.9655833333,121
6,2,0,0.4804,122
7,2,0,4.38015,141
2,2,0,1.624816667,142
7,2,0,1.417016667,145
4,2,1,1.223766667,153
6,2,0,0.7476333333,157
7,2,0,2.325033333,161
5,2,0,0.56245,176
7,2,0,0.4626166667,185
7,2,0,1.158416667,192
7,2,0,1.47355,195
6,2,1,1.646833333,202
5,2,0,0.9148333333,203
6,2,0,0.8437166667,204
5,2,0,0.9038,208
6,2,0,2.560783333,224
6,2,0,1.284283333,242
6,2,0,0.4419833333,249
5,2,0,1.554266667,257
7,2,0,1.76265,259
5,2,0,0.5291,264
7,2,0,0.3629833333,269
7,2,0,0.4682833333,270
6,2,0,1.40025,283
4,2,0,3.1931,291
6,3,0,0.4812166667,6
5,3,0,0.4202166667,13
3,3,1,0.4288833333,24
4,3,0,0.8246333333,25
2,3,0,0.5799666667,27
7,3,0,0.3294,28
5,3,0,0.9248,29
6,3,0,0.4485333333,30
6,3,0,0.7234,39
6,3,0,0.55205,40
7,3,0,1.6714,46
5,3,0,0.4346333333,48
6,3,0,0.8295,55
5,3,0,1.017116667,56
6,3,0,0.8670666667,58
6,3,0,0.52955,61
7,3,0,0.7690166667,75
6,3,0,0.3500166667,76
6,3,0,0.8927333333,82
7,3,0,10.17441667,84
6,3,0,0.3536333333,87
3,3,0,0.8540333333,92
5,3,0,0.7716166667,94
6,3,0,5.324566667,96
3,3,0,1.2997,120
4,3,0,0.3568166667,124
2,3,1,0.5252666667,133
5,3,0,1.937983333,138
7,3,0,0.7489333333,144
6,3,0,2.136083333,147
6,3,0,6.472966667,155
7,3,0,1.09385,163
6,3,0,0.224,164
5,3,0,0.9991,173
4,3,0,0.8015333333,177
7,3,0,0.3019166667,179
4,3,1,1.706216667,186
6,3,0,0.3239333333,191
6,3,0,0.8265666667,193
6,3,0,0.5971666667,199
2,3,0,1.166,200
6,3,1,0.3372,215
7,3,0,1.244416667,230
6,3,0,1.50265,232
7,3,1,0.4833333333,234
7,3,0,0.43515,237
4,3,0,0.6832333333,243
7,3,0,0.3011,245
2,3,0,0.5235666667,252
5,3,1,0.57415,253
4,3,1,1.35545,255
6,3,0,0.7875833333,263
7,3,0,5.31055,267
7,3,0,0.2076166667,278
4,3,0,2.172083333,284
6,4,0,0.63195,13
2,4,0,2.024283333,4
7,4,0,0.2282666667,33
5,4,1,0.1461833333,36
6,4,0,0.8507666667,37
4,4,1,1.60005,42
7,4,1,0.2563666667,44
3,4,0,0.799,50
7,4,1,0.20265,51
6,4,0,1.635766667,52
5,4,1,0.6630666667,54
6,4,0,2.382383333,60
6,4,1,0.1058833333,63
5,4,0,1.179183333,64
1,4,1,1.572683333,65
7,4,0,0.39755,66
7,4,0,6.508416667,70
7,4,0,0.9638333333,86
4,4,0,1.638733333,95
6,4,0,1.913066667,97
5,4,0,0.71465,98
5,4,0,0.5070666667,102
5,4,0,1.2405,106
3,4,1,1.725616667,108
7,4,0,0.2732,111
6,4,0,1.917433333,116
3,4,1,0.3870333333,117
3,4,0,1.306683333,123
5,4,0,0.6392166667,127
6,4,1,1.339233333,128
3,4,1,0.846,149
6,4,0,0.3989833333,160
5,4,0,0.4385333333,167
5,4,0,0.29485,169
6,4,0,0.3571166667,180
6,4,1,1.560916667,182
5,4,0,0.5758666667,183
6,4,0,0.2387666667,184
5,4,0,0.4645666667,187
5,4,0,0.7730166667,189
4,4,1,0.6839333333,194
5,4,1,0.4944166667,197
6,4,1,0.2933333333,206
5,4,1,0.6292333333,213
7,4,0,0.2885,216
7,4,0,0.4421,218
3,4,1,1.586766667,219
5,4,0,1.70735,220
6,4,0,0.8382166667,221
6,4,0,0.2383,227
4,4,0,0.4454333333,233
6,4,0,0.96565,239
3,4,0,0.6360166667,277
5,4,0,1.920116667,282
7,4,0,15.1091,293
5,4,0,0.5220833333,296
7,5,0,0.3243666667,8
7,5,0,0.36,5
5,5,1,0.27525,9
4,5,1,0.77735,11
7,5,0,1.716183333,18
3,5,0,0.6044333333,26
3,5,0,0.5520166667,32
5,5,1,0.5800333333,38
7,5,1,0.9997333333,43
5,5,1,0.50605,49
4,5,0,0.9677166667,57
6,5,0,0.4008333333,72
6,5,1,0.5993666667,74
7,5,0,0.3109,77
7,5,0,3.018466667,78
7,5,0,1.205716667,85
2,5,0,1.543016667,99
7,5,1,0.9382166667,100
3,5,1,1.023383333,103
5,5,0,3.8434,105
5,5,1,1.0922,107
6,5,1,1.222633333,109
